Thu May 11 18:40:22 2023    stats/output.dat

         6619183 function calls (6619177 primitive calls) in 34.955 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3108    0.002    0.000    0.002    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\entity.py:52(teleport_y)
     3051    3.403    0.001    3.403    0.001 {method 'astype' of 'numpy.ndarray' objects}
     3051    0.037    0.000    0.037    0.000 {method 'render' of 'pygame.font.Font' objects}
     2735    0.001    0.000    0.001    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\prey.py:17(deal_damage)
     2735    0.001    0.000    0.001    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\predator.py:20(receive_damage)
     2157    0.001    0.000    0.001    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\entity.py:49(teleport_x)
     2034    0.017    0.000    0.017    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     2034    0.441    0.000    0.441    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1973    0.001    0.000    0.001    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\prey.py:21(receive_damage)
     1973    0.001    0.000    0.001    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\predator.py:17(deal_damage)
     1695    0.129    0.000    0.129    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
     1356    0.000    0.000    0.000    0.000 {method 'get_height' of 'pygame.surface.Surface' objects}
     1017    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\numpy\core\multiarray.py:84(empty_like)
     1017    0.002    0.000    0.017    0.000 <__array_function__ internals>:177(empty_like)
     1017    0.023    0.000    0.032    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pycuda\driver.py:190(_build_arg_buf)
     1017    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pycuda\driver.py:490(<listcomp>)
     1017    0.028    0.000    0.061    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pycuda\driver.py:465(function_call)
     1017    0.011    0.000    0.011    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pycuda\compiler.py:331(get_function)
     1017    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1017    0.035    0.000    0.035    0.000 {built-in method numpy.zeros}
     1017    0.004    0.000    0.004    0.000 {built-in method _struct.pack}
     1017    0.001    0.000    0.001    0.000 {method 'set_alpha' of 'pygame.surface.Surface' objects}
      858    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      724    0.002    0.000    0.002    0.000 {method 'convert_alpha' of 'pygame.surface.Surface' objects}
      722    0.001    0.000    0.001    0.000 {built-in method pygame.transform.rotate}
      678    0.217    0.000    0.280    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\main.py:131(<listcomp>)
      678    0.063    0.000    0.063    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\main.py:134(<listcomp>)
      678    0.047    0.000    0.047    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\main.py:135(<listcomp>)
      678    9.653    0.014   13.452    0.020 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\main.py:127(get_vision)
      678    0.815    0.001   14.568    0.021 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\main.py:207(handle_vision)
      678    0.142    0.000    0.300    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\main.py:301(draw_graph)
      678    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\numpy\core\multiarray.py:152(concatenate)
      678    0.002    0.000    0.011    0.000 <__array_function__ internals>:177(concatenate)
      678    0.001    0.000    0.001    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\data_structures.py:10(push)
      678    0.000    0.000    0.000    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\data_structures.py:29(__len__)
      678    0.000    0.000    0.000    0.000 {method 'get_width' of 'pygame.surface.Surface' objects}
      429    0.001    0.000    0.001    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\predator.py:36(eat_prey)
      347    8.911    0.026    8.911    0.026 {method 'acquire' of '_thread.lock' objects}
      341    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
      340    0.000    0.000    0.000    0.000 {built-in method time.time}
      339    0.061    0.000    0.061    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\main.py:99(<listcomp>)
      339    0.036    0.000    0.036    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\main.py:100(<listcomp>)
      339    2.591    0.008    3.854    0.011 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\main.py:92(get_collision)
      339    0.402    0.001    4.356    0.013 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\main.py:181(update_preys)
      339    0.001    0.000    8.912    0.026 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\main.py:241(update_predators_list)
      339    0.001    0.000    0.001    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\main.py:320(elapsed_time)
      339    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\numpy\core\multiarray.py:345(where)
      339    0.001    0.000    0.419    0.001 <__array_function__ internals>:177(where)
      339    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
      339    0.000    0.000    0.000    0.000 {built-in method builtins.round}
      339    0.002    0.000    0.002    0.000 {method 'tick' of 'pygame.time.Clock' objects}
      339    0.000    0.000    0.000    0.000 {method 'get_fps' of 'pygame.time.Clock' objects}
      339    0.005    0.000    0.005    0.000 {built-in method pygame.event.get}
      339    0.003    0.000    0.003    0.000 {built-in method pygame.draw.rect}
      339    0.196    0.001    0.196    0.001 {built-in method pygame.display.flip}
      339    0.263    0.001    0.263    0.001 {built-in method pygame.display.update}
      265    0.000    0.000    0.000    0.000 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\prey.py:27(kill_predator)
       69    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       57    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       43    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       36    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       31    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       26    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\ntpath.py:150(splitdrive)
       26    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       26    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       22    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\ntpath.py:35(_get_bothseps)
       20    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\ntpath.py:206(split)
       20    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pkg_resources\__init__.py:1588(_parents)
       18    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pkg_resources\__init__.py:2387(_is_egg_path)
       18    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pkg_resources\__init__.py:2394(_is_zip_egg)
       18    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pkg_resources\__init__.py:2402(_is_unpacked_egg)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       18    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       14    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
       10    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        9    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        8    0.002    0.000    0.002    0.000 {built-in method nt.stat}
        8    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        8    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        7    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        6    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      5/3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:391(cached)
        4    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
      3/2    0.000    0.000    0.003    0.002 <frozen importlib._bootstrap>:664(_load_unlocked)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:921(_find_spec)
      3/2    0.000    0.000    0.005    0.003 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      3/2    0.000    0.000    0.005    0.003 <frozen importlib._bootstrap>:1022(_find_and_load)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:159(_path_isfile)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1399(_get_spec)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1431(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1536(find_spec)
        3    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\_distutils_hack\__init__.py:89(find_spec)
        3    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
        3    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        3    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\ntpath.py:87(isabs)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\ntpath.py:103(join)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\ntpath.py:247(dirname)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\threading.py:236(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\threading.py:264(__enter__)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\threading.py:267(__exit__)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\threading.py:273(_release_save)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\threading.py:276(_acquire_restore)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\threading.py:279(_is_owned)
        2    0.000    0.000    0.001    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\threading.py:288(wait)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\threading.py:545(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\threading.py:553(is_set)
        2    0.000    0.000    0.001    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\threading.py:589(wait)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\threading.py:782(_newname)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\threading.py:827(__init__)
        2    0.000    0.000    0.001    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\threading.py:916(start)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\threading.py:1183(daemon)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\threading.py:1301(_make_invoke_excepthook)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\threading.py:1430(current_thread)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\_weakrefset.py:86(add)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\posixpath.py:41(_get_sep)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\posixpath.py:60(isabs)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\inspect.py:606(getmro)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pkg_resources\__init__.py:351(get_provider)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pkg_resources\__init__.py:1401(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pkg_resources\__init__.py:1496(_fn)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pkg_resources\__init__.py:1502(_validate_resource_path)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pkg_resources\__init__.py:1602(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pkg_resources\__init__.py:1606(_setup_prefix)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pkg_resources\__init__.py:3151(_always_object)
        2    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pkg_resources\__init__.py:3161(_find_adapter)
        2    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        2    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        2    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      2/1    0.000    0.000   34.955   34.955 {built-in method builtins.exec}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        2    0.002    0.001    0.002    0.001 {built-in method _imp.create_dynamic}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        2    0.001    0.000    0.001    0.000 {built-in method pygame.transform.smoothscale}
        2    0.007    0.004    0.007    0.004 {built-in method pygame.image.load}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:877(exec_module)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\genericpath.py:16(exists)
        1    0.000    0.000    0.001    0.001 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\main.py:235(<listcomp>)
        1    0.000    0.000    0.001    0.001 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\main.py:236(<listcomp>)
        1    0.000    0.000    0.011    0.011 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\main.py:231(init_all_images)
        1    2.204    2.204   34.955   34.955 C:\Users\Asus G15\PycharmProjects\predators_and_preys\src\main.py:330(main)
        1    0.000    0.000    0.001    0.001 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pygame\pkgdata.py:45(getResource)
        1    0.000    0.000    0.001    0.001 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pkg_resources\__init__.py:1142(resource_exists)
        1    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pkg_resources\__init__.py:1158(resource_stream)
        1    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pkg_resources\__init__.py:1414(has_resource)
        1    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pkg_resources\__init__.py:1622(_has)
        1    0.000    0.000    0.000    0.000 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pkg_resources\__init__.py:1631(get_resource_stream)
        1    0.000    0.000   34.955   34.955 <string>:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\Asus G15\.conda\envs\predators_and_preys\lib\site-packages\pygame\freetype.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 {built-in method sys.exit}
        1    0.054    0.054    0.055    0.055 {built-in method pygame.display.set_mode}
        1    0.000    0.000    0.000    0.000 {built-in method pygame.display.set_caption}
        1    0.511    0.511    0.514    0.514 {built-in method pygame.base.init}
        1    0.072    0.072    0.072    0.072 {built-in method pygame.base.quit}


